Iteration,Step,Ep_num,EpRet_mean,EpRet_std,EpLen_mean,EpErr_mean,EpErr_std,EpPsi_mean,EpPsi_std,EpSuccess_num,Value_loss,Policy_loss,Old_approx_kl,Approx_kl,Clipfrac,Explained_variance,Entropy,Time
28,344064,217,-44.88207246119129,44.392493934344245,55.28110599078341,354.82994544383973,177.26107136933945,41.17372422174375,28.1008909795023,1,433.0597839355469,0.00687602162361145,-0.012534603476524353,0.0017722034826874733,0.016086154513888888,-7.152557373046875e-06,3.3999109268188477,42.65206289291382
29,356352,218,-41.362611881100165,46.77396996400611,55.1605504587156,346.10131748082756,199.53945042139532,39.509112222479025,24.00835363014312,3,549.9811401367188,0.004836276173591614,-0.007735123857855797,0.0038788309320807457,0.04050021701388889,4.76837158203125e-07,3.393564224243164,42.59272503852844
30,368640,217,-41.973438324052566,46.02454093516494,55.26728110599078,354.6666293599895,202.81904740161224,38.366275080887405,25.027901528343442,0,566.9534912109375,-0.0019129030406475067,0.013589071109890938,0.001989522948861122,0.030137803819444444,-2.384185791015625e-06,3.371150016784668,43.4701087474823
31,380928,216,-38.618804435747215,44.575429389768,55.291666666666664,333.4068724331403,182.96835530577744,44.955429484446846,27.415072331230398,1,404.23828125,-0.004202425479888916,-0.019754009321331978,0.0033304421231150627,0.025770399305555556,8.821487426757812e-06,3.357659339904785,43.44086527824402
32,393216,217,-40.86274531227577,46.18856381223177,55.16129032258065,334.6266171420599,185.48277788808196,38.50477392223024,25.519491632016877,0,704.2977294921875,-0.0025864839553833008,0.006323929876089096,0.004638468846678734,0.030924479166666668,-2.6226043701171875e-06,3.336507797241211,41.62366509437561
33,405504,217,-36.917799818188996,45.172409687467365,55.11059907834101,318.19877997707977,162.77038433046187,42.00145570363867,21.98944743166633,3,481.4133605957031,-0.010583696886897087,0.00012649595737457275,0.0014935247600078583,0.055013020833333336,1.4185905456542969e-05,3.3265042304992676,43.223581075668335
34,417792,217,-33.53605668331941,44.74844952274621,55.40552995391705,310.7561359885068,165.5924583795706,39.971950361805575,23.723359299436048,0,579.21337890625,-0.003699846565723419,0.00360691174864769,0.00240226648747921,0.036051432291666664,3.999471664428711e-05,3.321870803833008,43.08456373214722
35,430080,217,-42.846306641983944,45.28802446887566,55.37327188940092,339.079458753025,182.2978927880211,36.475530571651895,25.927890462065086,0,605.91064453125,0.006717100739479065,-0.006738655269145966,0.00545982550829649,0.028049045138888888,-2.205371856689453e-05,3.305939197540283,45.217567682266235
36,442368,217,-46.07780762223286,44.5273445009624,55.2073732718894,372.1835175963173,203.91015366359557,52.48013421687113,24.639771772225558,0,603.144287109375,0.008741945028305054,0.00255507230758667,0.005851345136761665,0.025987413194444444,7.37309455871582e-05,3.3051257133483887,41.9537513256073
37,454656,216,-38.62496726717016,46.430863414150984,55.40277777777778,338.8764422160432,188.98524993153418,36.711888859669365,22.65685401318353,3,549.9287109375,-0.008711598813533783,0.005067992955446243,0.00250929594039917,0.023383246527777776,7.009506225585938e-05,3.306185245513916,41.62063121795654
38,466944,218,-38.20331757520073,44.238642174548225,55.24311926605505,319.77127184619974,163.13739871995804,34.119970820365694,20.635661765976348,1,511.162841796875,-5.389750003814697e-05,0.01470538042485714,0.003090551123023033,0.018446180555555556,0.0006617903709411621,3.2878448963165283,41.54682993888855
39,479232,216,-43.377202127061956,42.66507222459448,55.467592592592595,355.33268374913723,183.8085689456033,41.75804361701012,22.04961721648114,0,632.0040283203125,0.009294446557760239,0.043211810290813446,0.006670702248811722,0.038981119791666664,0.0007417201995849609,3.273193836212158,41.32663416862488
40,491520,217,-34.479164414243336,46.93059692680869,55.34101382488479,327.25455996610816,191.88404279030738,33.52528655583957,19.672303438499107,1,560.6849365234375,0.0074770767241716385,0.008411889895796776,0.0019163861870765686,0.027642144097222224,0.0012694001197814941,3.2808494567871094,41.46800708770752
41,503808,216,-36.072889750333175,46.50926996818577,55.25,316.9365328991766,169.63052859118255,34.74914009372393,19.203219603774645,3,598.778564453125,0.0189809612929821,0.004430711269378662,0.0037978645414114,0.018174913194444444,0.0013243556022644043,3.2832770347595215,41.58800649642944
42,516096,216,-35.60318312767671,44.93793816598333,55.550925925925924,315.13814754912823,169.8568445135929,40.356979767481484,18.2038682618635,1,498.39056396484375,-0.010646624490618706,0.013235477730631828,0.004351109266281128,0.04025607638888889,0.0020686984062194824,3.275712251663208,41.96821069717407
43,528384,217,-32.586097847262636,44.851457725974896,55.2073732718894,303.47894401208896,158.8174011636097,34.982845755766064,19.328761145095452,2,543.6649780273438,-0.019506778568029404,0.006837882101535797,0.005129237659275532,0.032660590277777776,0.0027281641960144043,3.291043519973755,42.41306281089783
44,540672,216,-31.063351028484117,47.313175931321446,55.50925925925926,289.5122983408491,150.27611795373068,32.460958709319435,17.847862448972307,5,432.6370849609375,0.005327098071575165,0.0037193354219198227,0.002097885124385357,0.030544704861111112,0.003119051456451416,3.279066562652588,42.33042001724243
45,552960,216,-26.56863719618405,47.24885670708684,55.5787037037037,278.8657715694724,148.28134176993507,29.906019518772762,16.112722843814197,1,519.2088623046875,0.0036508888006210327,-0.004566522315144539,0.0012407256290316582,0.030192057291666668,0.0011432170867919922,3.27066707611084,42.06185221672058
46,565248,216,-32.01852512625376,43.82782901095414,55.407407407407405,303.3959455294766,155.24434743349613,32.52062822381655,17.874982630278524,4,376.2308654785156,0.01008017361164093,0.004439821466803551,0.0018223412334918976,0.040228949652777776,0.004225730895996094,3.255361557006836,43.37603688240051
47,577536,216,-24.36560022168223,47.094294644061456,55.41203703703704,281.42181394329606,159.67091437108743,27.25176478425662,15.571717986057353,6,511.976806640625,0.0019187629222869873,0.000609496608376503,0.008356939069926739,0.046142578125,0.007413387298583984,3.2604012489318848,44.11833071708679
48,589824,216,-31.834644468116384,44.5094444793687,55.40277777777778,311.547127086745,166.4075023723181,31.468297690153122,15.960810639245425,1,576.1554565429688,0.002727136015892029,0.010648885741829872,0.005790699273347855,0.045572916666666664,0.006539702415466309,3.256380081176758,48.28752589225769
49,602112,216,-27.93468003575156,43.66537641269602,55.541666666666664,283.16680117023157,146.2736585191999,26.651184757550556,16.11517951256446,0,453.3899230957031,0.00026279501616954803,0.021398993209004402,0.0062459371984004974,0.023111979166666668,0.008580207824707031,3.2449755668640137,43.11756682395935
50,614400,216,-29.443082974576026,48.64224191482943,55.6712962962963,290.6320661907776,160.05860474093282,26.68724333246549,16.817792122966786,5,503.0727233886719,0.003969527781009674,0.0011900588870048523,0.008014770224690437,0.032660590277777776,0.006786942481994629,3.245682716369629,45.55425405502319
51,626688,216,-31.629127259713325,45.43046673151263,55.60648148148148,306.7553521838788,161.70787838396097,31.035869667927425,16.066737499176522,3,563.9840087890625,0.0032932907342910767,-0.0027102474123239517,0.002092692069709301,0.04098849826388889,0.017399847507476807,3.2336344718933105,43.283071517944336
52,638976,216,-22.349550274825493,47.196546048403796,55.60648148148148,263.56488995977037,148.08520668114403,32.13702435294787,14.279486759106218,3,551.4468994140625,-0.012274306267499924,-0.00706486776471138,0.0031894436106085777,0.04440646701388889,0.011821269989013672,3.233752965927124,47.329822063446045
53,651264,216,-23.504736562672093,46.347712236216566,55.574074074074076,277.05422499876283,156.6576858453838,31.287907113631565,16.272283153063952,3,571.274169921875,-0.006654104217886925,-0.0008284840732812881,0.004139614291489124,0.024712456597222224,0.011109769344329834,3.2132344245910645,47.579376459121704
54,663552,216,-22.786227436415157,46.307634436656734,55.648148148148145,276.7810409441431,152.54739435258358,25.534891138474148,14.22059998800157,5,532.1417236328125,-0.02400832250714302,0.02021973580121994,0.006533739157021046,0.027289496527777776,-0.008884668350219727,3.209016799926758,49.69758200645447
55,675840,216,-27.15161559521837,47.21906985086396,55.648148148148145,282.9538084149631,144.35138000069406,20.916829605897266,13.00410985264866,4,433.13690185546875,0.00642191618680954,0.002219816669821739,0.004403145983815193,0.042317708333333336,0.0020458102226257324,3.1974594593048096,44.76029682159424
56,688128,216,-17.476150750995334,42.65472239633439,55.53703703703704,252.27977426664282,128.52009316870073,21.418373237053554,14.370330990316958,3,395.6794738769531,0.008125809021294117,0.01474900171160698,0.003336820751428604,0.049750434027777776,0.016669809818267822,3.1798505783081055,44.5623459815979
57,700416,216,-13.973471576866432,45.78227790629384,55.56481481481482,246.458568272416,140.02101733227215,23.962384859720867,13.580915336989598,8,557.2662353515625,0.01965438574552536,0.002428462728857994,0.0021397732198238373,0.05056423611111111,0.013921618461608887,3.174966812133789,43.3596031665802
58,712704,216,-6.483043424653091,42.73254482992856,55.68055555555556,218.47330485008172,115.71655430594922,22.10272505879402,13.017016728862595,5,430.0982666015625,0.005473416298627853,0.006469437852501869,0.013639228418469429,0.07408311631944445,0.011524498462677002,3.1755478382110596,42.40659737586975
59,724992,216,-15.998161848921981,45.78697204246279,55.449074074074076,249.64903353848138,147.78943992706752,17.202025552590687,11.541516300757644,3,470.46624755859375,9.211897850036621e-05,-0.001286730170249939,0.004147786647081375,0.06884765625,0.01461416482925415,3.1516971588134766,42.506754875183105
60,737280,216,-18.940299504101237,48.07774255271501,55.523148148148145,254.63362510113606,152.49977202650865,16.672043949365616,11.025009740514303,4,564.8191528320312,0.009768221527338028,0.002038877457380295,0.01203453354537487,0.10736762152777778,0.007806897163391113,3.14522123336792,43.64318561553955
61,749568,216,-4.761279692604531,45.91670323954284,55.611111111111114,216.9090767782622,134.5211920709575,18.12154655655225,11.389513239138122,13,628.5160522460938,0.02873057872056961,-0.021485216915607452,0.003486594185233116,0.049967447916666664,0.01793724298477173,3.140413284301758,42.06939768791199
62,761856,216,-6.765017534768104,44.61342702973921,55.68055555555556,218.50015570027568,121.71510297745203,16.814376811186474,10.912360930407532,9,543.5593872070312,0.009531425312161446,0.008400045335292816,0.005883252248167992,0.04220920138888889,0.015827417373657227,3.129521369934082,41.85284876823425
63,774144,216,-0.40936832251702526,41.49362344827933,55.76851851851852,197.9482886900083,108.54450194175138,18.69741717974345,11.622584653074135,5,525.2992553710938,-0.0034888312220573425,-0.00643615797162056,0.0025106407701969147,0.05162217881944445,0.01759737730026245,3.1248812675476074,41.73318099975586
64,786432,216,-9.411133172679937,47.685863265135296,55.6712962962963,231.94183894744188,130.60771543485706,19.496366928021114,11.40125399592346,13,563.0990600585938,-0.008310414850711823,0.011996554210782051,0.001397893764078617,0.03795030381944445,0.02451258897781372,3.123056411743164,42.22930836677551
65,798720,216,-4.190239155846196,45.29993351946458,55.61574074074074,217.11953687573381,124.19187752080174,17.293947339057922,11.088211945128096,9,589.519287109375,-0.0017004236578941345,0.010439207777380943,0.011594192124903202,0.05859375,0.012651503086090088,3.1353845596313477,41.5737681388855
66,811008,216,-11.090218882928086,46.80951357340197,55.592592592592595,228.77021400973712,127.55043092298706,17.649447172880173,10.625731271457324,5,471.33758544921875,-0.017409011721611023,0.0016926862299442291,0.0018671359866857529,0.06534830729166667,0.03131216764450073,3.1305429935455322,41.611252546310425
67,823296,216,-6.9983571261594015,45.41612273106444,55.50925925925926,227.14772543478043,142.42649320008562,16.026870359977085,10.258856647804155,5,603.3440551757812,0.008007343858480453,0.003810778260231018,0.0026424014940857887,0.08024088541666667,0.04023623466491699,3.1093249320983887,41.31471657752991
68,835584,216,-8.972482362857166,44.33057811017817,55.50925925925926,229.25841019894202,128.58166194562241,14.056649456421534,9.226318743802052,7,537.3705444335938,0.01826506108045578,0.013740448281168938,0.0018999949097633362,0.08892144097222222,0.025394022464752197,3.0926384925842285,41.38675355911255
69,847872,217,-6.220071396839034,46.13919407222782,55.36866359447004,218.20584123622672,126.75301655863551,13.976437430227957,10.196779920965495,7,491.4492492675781,-0.0010131746530532837,-0.00956718809902668,0.0009183920919895172,0.041802300347222224,0.0185166597366333,3.0759010314941406,41.548205852508545
70,860160,216,-4.1421728162531695,46.42790602844698,55.66203703703704,216.68193360290869,132.00613093024802,14.507533212502798,10.083181292757684,10,589.3641357421875,-0.0006161630153656006,-0.013880832120776176,0.0025453390553593636,0.06768120659722222,0.03417772054672241,3.0439395904541016,41.69734740257263
71,872448,216,-0.39392616863905594,45.51480878666618,55.49074074074074,208.00768346244163,129.68686792635285,14.430592010418573,9.74120846654324,14,522.053955078125,-0.005236830562353134,0.0053413026034832,0.007193460129201412,0.07904730902777778,0.024102330207824707,3.0344228744506836,41.313737630844116
72,884736,216,-0.9803692787963435,43.47533987603396,55.416666666666664,205.12757323193188,114.71691247965899,11.86468074719111,8.402085903357463,8,664.1162109375,-0.0029040277004241943,0.003348512575030327,0.003856615163385868,0.043646918402777776,0.02729743719100952,3.0403623580932617,43.051517724990845
73,897024,216,0.633643261734388,45.79254210929175,55.467592592592595,204.9821184236055,121.66745283666663,13.793997565905253,9.093336060101308,16,618.7742919921875,0.0033549964427948,0.01994248852133751,0.001751445233821869,0.043619791666666664,0.03746318817138672,3.0374505519866943,43.488638162612915
74,909312,216,5.289249919198279,43.1245308914075,55.351851851851855,191.53138352463975,117.40612009319464,14.621903995672861,9.490121563956052,12,621.9090576171875,0.011848660185933113,0.020401861518621445,0.002339448779821396,0.067138671875,0.040085017681121826,3.051191806793213,44.050724029541016
75,921600,216,-1.157165538717528,43.673871102763606,55.620370370370374,202.28321220362375,113.40258150982123,16.51837353905042,10.33257458691347,8,514.9219970703125,-0.024655159562826157,0.0038332603871822357,0.004236332140862942,0.04578993055555555,0.01571434736251831,3.012881278991699,42.82285976409912
76,933888,216,7.703311844100633,40.34550767018643,55.5462962962963,185.6462048981206,111.83584949670353,13.356165240208307,9.431202408897347,9,547.1461181640625,-0.00826294720172882,0.0031490474939346313,0.005508840084075928,0.077880859375,0.040047287940979004,2.9907140731811523,43.05928683280945
77,946176,216,3.0730628999482237,41.15421950484465,55.467592592592595,192.17729025798494,107.58566776599139,16.130846987167995,10.650518267174235,9,478.28765869140625,-0.0031435638666152954,0.019021911546587944,0.009893893264234066,0.044135199652777776,0.026297330856323242,2.9766957759857178,42.5372416973114
78,958464,216,-11.685805839192389,43.02729421921656,55.31018518518518,243.8500181035632,132.562244288278,18.24712817867597,11.025425472486633,4,347.04034423828125,0.033281195908784866,0.015520201995968819,0.036475565284490585,0.06632486979166667,0.02550375461578369,2.9717092514038086,40.90207362174988
79,970752,216,9.319915130252749,43.936192094295606,55.379629629629626,175.73164091457585,108.61754229760156,16.39981855948766,10.081959220817492,17,609.3345947265625,-0.015120603144168854,0.008766638115048409,0.0021411431953310966,0.040093315972222224,0.02543419599533081,2.9833269119262695,42.108476877212524
80,983040,216,5.408399230287099,46.28419399704281,55.50925925925926,185.22566351219163,115.3118295548152,17.662317603826523,10.712035302165324,17,720.8314208984375,-0.0012070909142494202,-0.00244089774787426,0.0035908659920096397,0.066162109375,0.02506965398788452,2.9479994773864746,42.18238162994385
81,995328,216,-1.09394093131733,42.74180667964901,55.40277777777778,197.24797617054168,111.83164699316426,18.837443441152573,10.782048101647945,7,467.45050048828125,0.0036247968673706055,0.023514658212661743,0.007192710414528847,0.07023111979166667,0.03965604305267334,2.9585838317871094,42.341731786727905
82,1007616,217,-1.0976888456125427,41.85041126952836,55.45622119815668,204.34114275660423,115.55250271250219,20.461008043333134,10.820974493851637,5,467.6253967285156,0.008805902674794197,0.021479841321706772,0.002185666933655739,0.018174913194444444,0.0256119966506958,2.9544878005981445,42.39595699310303
83,1019904,217,5.121152131411458,39.07285302997816,55.294930875576036,187.86111251200856,106.77425511979136,20.858371252288467,11.146562693466505,5,419.00787353515625,0.023287173360586166,0.025358375161886215,0.012405513785779476,0.060709635416666664,0.036174237728118896,2.927928924560547,43.25213623046875
84,1032192,217,-6.077043170773229,43.359533410141864,55.40092165898618,216.32512993561878,116.37167746134496,16.114722243102463,9.608753789637941,7,479.0555114746094,0.006577257066965103,-0.0014443174004554749,0.002293090336024761,0.0749240451388889,0.021695375442504883,2.9167709350585938,42.32426571846008
85,1044480,216,-4.732219974148811,42.22772826647884,55.495370370370374,210.14989710446423,112.34010821746794,16.501320997873943,9.620912609489674,7,420.6758117675781,0.0019399374723434448,0.014894573017954826,0.004279701039195061,0.09773763020833333,0.03043133020401001,2.9108810424804688,42.825133085250854
86,1056768,216,3.653413335093446,42.24865625367847,55.351851851851855,189.07263149729846,108.01588126330088,16.071917861700058,10.20720162707734,11,548.5781860351562,-0.00033168867230415344,-0.006376802921295166,0.003969000652432442,0.05886501736111111,0.012546896934509277,2.8954927921295166,43.903197050094604
87,1069056,216,7.96222437117397,43.097872670880164,55.407407407407405,180.61912608659466,109.68272557383551,17.354021668434143,10.390064019283892,16,565.5154418945312,-0.003647337667644024,-0.009218821302056313,0.0032673384994268417,0.052897135416666664,0.0603175163269043,2.880742073059082,42.50226855278015
88,1081344,216,5.70746845407787,42.95484334861841,55.31481481481482,182.8199817766956,107.3385490388319,18.011910567680996,10.634869771368326,10,607.8374633789062,0.007610686123371124,0.001463920809328556,0.006219967268407345,0.050944010416666664,0.030309319496154785,2.869330883026123,42.02706742286682
89,1093632,216,8.666948418892181,39.860975625668004,55.23148148148148,177.40354661953447,98.23339717392639,16.9969446460406,8.367638656729712,14,562.9759521484375,0.013296961784362793,0.006372036412358284,0.00718067679554224,0.06388346354166667,0.033095717430114746,2.8490705490112305,41.83571791648865
90,1105920,216,10.547456795499974,40.58480101489957,55.31944444444444,170.90394438825712,99.18096585477525,18.428537646929424,9.261427110956657,13,555.7263793945312,0.0050631333142519,0.005414044484496117,0.001888977363705635,0.04812282986111111,0.005603194236755371,2.860286235809326,45.31080651283264
91,1118208,216,9.985061128102362,40.596501443273716,55.10648148148148,172.01225234958986,98.29001492535143,19.89922841389974,10.588769639121876,13,457.9821472167969,0.01890212669968605,0.00971567165106535,0.0040462203323841095,0.06781684027777778,0.02282094955444336,2.854630470275879,42.68356108665466
92,1130496,216,12.40853155776344,39.94396023199735,55.300925925925924,166.18173111321414,97.71991037130051,19.504110515117645,9.54433529987343,14,648.20068359375,0.011041002348065376,-0.0013487935066223145,0.0021472321823239326,0.0854763454861111,0.05823516845703125,2.8502044677734375,42.227866888046265
93,1142784,217,6.646302948262597,39.6107525996933,55.225806451612904,185.93189249692773,103.93306429217013,18.99849271444681,9.07940111624994,11,619.9071655273438,-0.007383216172456741,0.01751696690917015,0.00385343749076128,0.09974500868055555,0.04239678382873535,2.8633947372436523,45.095022201538086
94,1155072,216,10.048490555151679,36.70264264303138,55.125,175.11427326338222,95.95255261018073,21.494264950354893,9.685219392365081,11,355.43365478515625,-0.00960363820195198,0.017807764932513237,0.0034671956673264503,0.1042751736111111,0.04144185781478882,2.8452980518341064,42.770814180374146
95,1167360,216,15.306318828193163,36.77494597311142,55.31481481481482,158.63821194895712,92.03085764108481,21.255087902148563,9.25582906269829,10,420.2782897949219,0.004107631742954254,0.018886525183916092,0.0022116368636488914,0.074951171875,0.027987539768218994,2.8425889015197754,44.12203073501587
96,1179648,218,13.256199892760792,39.90496694889851,55.06880733944954,163.20867759522528,96.01338776314887,20.16257123662791,9.315995160501346,19,525.289306640625,0.025713879615068436,0.012602854520082474,0.006231941282749176,0.07465277777777778,0.020017385482788086,2.8214659690856934,43.298606395721436
97,1191936,216,10.196017715046606,43.25462002993669,55.3287037037037,167.93532322974846,102.33404492081476,23.012680808703106,9.485281448496224,14,674.784423828125,0.00341634638607502,-0.004183633252978325,0.0007690051570534706,0.048665364583333336,0.021734952926635742,2.8203790187835693,43.15245270729065
98,1204224,217,10.204467221504755,39.392881805666754,55.19815668202765,169.3611034033343,98.06962162247329,21.842908183550506,9.545840195566488,12,459.9825439453125,-0.012338019907474518,-0.0025011440739035606,0.004907961003482342,0.05734592013888889,0.014786481857299805,2.813589096069336,42.062851667404175
